exp(-mu);1-exp(-mu);0
(1-exp(-lambda))*exp(-mu);(1-exp(-mu))*(1-exp(-lambda))+exp(-lambda)*exp(-mu);exp(-lambda)*(1-exp(-mu))
(1-exp(-lambda))**2;2*(1-exp(-lambda))*exp(-lambda);exp(-lambda)**2
